,way_id,node_ids,node_id_for_coords,name,ref,operator,voltage,longitude,latitude,country_code
11583,68311148,"{822463021,822462659,822460784,822460527,822463021}",822463021,Val St Andre 2,,ERDF,,5.47161665634213,43.515113078827895,FR
11584,68311658,"{822464466,822462743,822460714,822460985,822461560,822459534,822464466}",822464466,École St André,,,,5.467003178537481,43.518926687180794,FR
11585,68338943,"{822820702,2345655711,822820798,822820632,2345655651,822820697,822820702}",822820702,"Stacja elektroenergetyczna ""Sikorskiego"" 110 kV",,,,19.102858761266397,50.8200695914042,PL
11586,68505892,"{823774444,823774286,823774496,823774347,823774444}",823774444,Waldkappel,Wkap,EON_Netz,,9.88553048669258,51.1494967394885,DE
11587,68505893,"{823774449,823774291,823774457,823774295,823774449}",823774449,Umspannwerk Sontra,SONT,EON_Mitte,,9.91088902884799,51.05321317183189,DE
11588,68515955,"{823897572,2369923718,2369923717,823897573,823897575,2369923713,2369923712,2369923714,2369923715,2369923716,823897577,957525894,823897572}",823897572,Beauly Substation,,SSE Power Distribution,,-4.490015957117559,57.4699194474059,GB
11589,68532663,"{824135460,824135464,824135468,824135471,824135474,824135479,824135483,824135460}",824135460,Umspannwerk Krün,,E.ON Netz GmbH,,11.2775033469328,47.4963391582349,DE
11590,68549340,"{824289070,1216413231,1216412583,1000038194,1216411562,1000038197,824289123,1216412037,1216412189,1216411096,1216413041,1000038195,824289090,824289077,1216410924,1770853266,824289063,824289073,1216411333,1770853256,824289076,1770853284,1770853293,824289070}",824289070,Station Bochum,,Amprion,,7.17798917607232,51.4730709451831,DE
11591,68554271,"{1216412445,1216411223,1216412215,1216412997,1216411928,1216411037,824306223,1598292744,824306230,1216412830,1216413356,1216412445}",1216412445,Station Bochum,,RWE,,7.17933054045457,51.4755505564153,DE
11592,68751381,"{826266445,826266496,826266547,826266367,826266420,826266190,826266264,826266461,826266522,826266353,826266414,826266240,826266272,826266510,826266586,826266369,826266442,826266193,826266550,826266338,826266445}",826266445,ПС «Кировская»,,Екатеринбургская электросетевая компания,,60.6674442352738,56.8543239702462,RU
11593,68925871,"{827752230,827752298,1236457007,827752282,827751481,827755628,827753734,827755890,827754107,827752492,827755078,827754713,827754020,827755479,827755622,827753198,827751770,827753024,827753666,827752230}",827752230,Poste électrique de Turgot,,ERDF,,2.3453648425759397,48.88087037297439,FR
11594,69045194,"{828581141,828581430,828580786,828581647,1181635159,828581512,828581057,828581070,828581141}",828581141,Poste électrique de Monttessuy,,RATP,,2.29961894521591,48.8599435384908,FR
